plateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
AEBMED,121,121,122,122,143,143,243,243,301,304,287,293,385,385,446,446
AnNT116,115,121,122,124,146,146,253,253,268,307,276,289,388,388,423,434
AnNT50,115,121,124,132,146,155,310,362,271,304,276,295,388,403,423,434
AnVIN13/AEBCHARD,115,115,122,124,139,146,253,310,268,307,289,293,388,400,423,425
AnVIN7,115,115,168,180,139,139,249,310,268,271,276,291,388,422,434,434
BCS103,121,121,120,166,139,153,258,258,304,304,295,295,403,406,446,446
EfCSM,136,136,120,120,135,135,256,256,244,244,295,295,403,403,455,455
EfM1/Interdry,101,121,151,151,146,146,249,249,313,316,293,297,385,385,431,452
EfRP15,121,121,122,161,146,146,249,265,274,322,276,291,400,400,393,452
EfSIMI-WHITE,121,121,153,153,146,146,249,249,323,323,291,291,357,357,394,394
EfT306,121,121,176,176,143,143,256,256,259,259,291,291,385,385,452,452
LafRose,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
Lal71B,124,124,120,157,124,139,261,261,268,280,271,293,385,422,402,446
LalAMH,118,121,139,141,139,146,261,261,268,277,291,291,385,385,434,446
LalBA11,121,121,137,137,155,155,265,265,283,283,291,291,397,397,414,414
LalBGY/MaurivinB,127,127,139,139,146,146,256,256,295,295,279,279,403,403,452,452
LalBM45,124,124,120,120,153,153,261,261,280,280,289,289,385,385,446,446
LalBM4x4,124,124,122,122,149,153,256,258,280,326,291,293,400,400,416,425
LalBRL97,121,121,122,122,143,143,246,249,301,301,287,293,385,385,446,446
LalClos,127,127,144,144,153,153,253,253,250,250,291,291,385,385,449,449
LalCY3079,121,124,122,166,139,146,253,261,274,292,291,293,382,400,446,446
LalD21,121,121,122,122,143,143,243,243,301,301,287,293,385,385,446,446
LalD254,121,121,122,122,149,149,256,256,274,274,275,275,380,380,449,449
LalD80,118,121,139,184,146,146,253,237,244,244,275,295,400,441,437,437
LalDV10/Quartz,115,115,124,132,146,146,310,310,268,316,276,289,388,483,423,434
LalGRE,136,136,180,180,146,146,256,256,274,274,291,291,403,403,455,455
LalR2,121,124,166,170,139,143,253,260,283,301,287,293,397,403,446,452
LalRA17,115,121,122,137,146,146,265,268,274,280,293,293,397,400,446,452
LalRC212,121,121,120,120,146,149,256,261,316,316,275,275,380,380,449,452
LalRho2056,121,124,122,161,146,149,249,265,274,322,276,291,400,400,393,452
LalRho2226,115,121,161,174,143,153,249,268,253,271,289,291,385,403,446,449
LalR-HST,115,127,137,159,146,155,253,253,253,298,291,293,409,409,446,446
LalS6U,124,124,139,139,139,139,297,297,295,295,291,291,400,400,434,434
LalT73,95,95,205,225,146,153,258,258,274,295,287,297,394,397,446,446
LLBRG,121,124,137,137,146,153,265,265,253,274,289,293,394,397,449,452
LLCHP,115,115,124,132,139,146,310,310,268,316,276,289,388,483,423,434
AWRI796/M2,124,124,124,124,153,153,258,258,280,280,293,293,388,388,431,431
PasteurRed,115,115,151,151,139,139,249,249,250,250,291,291,412,412,449,449
S288C,121,121,157,157,130,130,240,240,292,292,295,295,406,406,443,443
S325,121,121,148,148,146,149,253,258,244,268,283,293,388,388,405,452
SC22,115,121,120,120,139,153,253,253,271,271,291,291,385,409,446,446
UVA43,121,127,132,132,139,153,304,304,247,271,276,276,382,382,446,449
UvaGHM,121,121,120,139,149,149,258,261,295,304,293,293,409,409,394,446
UvaSVG,136,136,141,141,146,146,256,256,244,244,295,295,403,403,446,446
UvaVRB,121,121,159,159,155,164,253,253,253,253,291,291,388,388,437,437
V1116/Opale,124,124,122,153,149,153,258,258,326,326,291,293,400,400,416,425
V228,115,115,122,137,146,146,253,253,274,307,293,293,400,400,425,434
VR44,115,121,124,132,139,146,307,310,268,316,276,289,388,388,423,434
Vt3001,115,121,139,139,146,149,256,256,250,299,291,295,385,388,425,446
Vt58W3,121,121,148,148,153,153,268,268,298,298,289,289,400,400,452,452
VtM83,121,121,141,141,146,146,261,261,274,274,289,289,385,385,452,452
VtMT,121,121,122,122,149,149,265,265,301,301,276,276,397,397,452,452
Xevolution,115,124,120,122,139,153,253,261,280,307,289,289,385,400,423,446
ZfF15,124,124,146,146,153,153,258,258,280,280,291,291,385,385,437,437
ZfF83,115,124,120,144,143,153,249,261,274,280,289,293,385,385,446,446
ZfFX10,121,121,120,120,139,139,258,258,274,274,276,276,403,403,446,446
ZfVL1,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
ZfVL2,115,124,122,153,153,153,253,258,298,326,293,297,400,403,416,446
ZfVL3,115,121,122,137,139,146,253,261,295,298,281,293,385,403,446,449
ZfX16,115,121,120,137,139,153,258,261,283,304,293,293,403,403,446,446
ZfX5,115,115,124,137,139,146,253,261,298,307,281,293,400,403,423,449
